image_id,weather,timeofday,scene,stratify_group
855e1c17-62ff10d9.jpg,clear,night,residential,clear_night_residential
a97d769d-4e668bb3.jpg,clear,daytime,highway,clear_daytime_highway
25cbfec5-8c0ea721.jpg,rainy,night,city street,rainy_night_city street
544b1496-9482eaa7.jpg,undefined,daytime,highway,undefined_daytime_highway
355a39ab-b16359c1.jpg,clear,night,city street,clear_night_city street
2178d731-bc7b1cef.jpg,clear,night,highway,clear_night_highway
53fc3ee0-449beaa5.jpg,snowy,daytime,city street,snowy_daytime_city street
1f42f14e-383d615c.jpg,rainy,dawn/dusk,city street,rainy_dawn/dusk_city street
1eb845ee-fcf63348.jpg,clear,daytime,highway,clear_daytime_highway
9010f21b-69bc571d.jpg,clear,daytime,residential,clear_daytime_residential
14709479-5670fa29.jpg,snowy,daytime,city street,snowy_daytime_city street
67730bd4-902a1c7f.jpg,undefined,daytime,city street,undefined_daytime_city street
7b25e747-c682e215.jpg,clear,night,city street,clear_night_city street
882d1cae-13eff7db.jpg,undefined,daytime,city street,undefined_daytime_city street
6187c395-17335c5a.jpg,snowy,daytime,city street,snowy_daytime_city street
8441f3ae-77a5c137.jpg,clear,night,city street,clear_night_city street
b13403ad-1d39d9e9.jpg,overcast,daytime,city street,overcast_daytime_city street
0bd56920-dc6a2e94.jpg,clear,night,city street,clear_night_city street
4166b7c6-4d8ad9c5.jpg,rainy,night,highway,rainy_night_highway
96fc04e6-271d34ad.jpg,overcast,daytime,city street,overcast_daytime_city street
30a50138-b7ab5d82.jpg,clear,night,city street,clear_night_city street
2de503e2-870be40e.jpg,clear,night,residential,clear_night_residential
9237ddec-e9f14124.jpg,partly cloudy,daytime,city street,partly cloudy_daytime_city street
35250199-c68f95c1.jpg,rainy,daytime,city street,rainy_daytime_city street
837f8df9-c422d034.jpg,snowy,daytime,highway,snowy_daytime_highway
4242e31f-9105df68.jpg,clear,dawn/dusk,city street,clear_dawn/dusk_city street
2e51558a-cc87346e.jpg,partly cloudy,daytime,highway,partly cloudy_daytime_highway
4041e62b-1add8bee.jpg,rainy,daytime,city street,rainy_daytime_city street
68848593-c2013d45.jpg,overcast,night,highway,overcast_night_highway
4a8b2a88-cdff47db.jpg,overcast,daytime,other,overcast_daytime_other
a46ced8c-83e16cc5.jpg,clear,night,city street,clear_night_city street
066112a8-cdf390dc.jpg,clear,daytime,city street,clear_daytime_city street
33df3f66-faa48250.jpg,clear,night,city street,clear_night_city street
8b1e7043-f83740f0.jpg,undefined,daytime,city street,undefined_daytime_city street
8dd6df8b-08159e1b.jpg,overcast,daytime,city street,overcast_daytime_city street
19590021-87bdfd77.jpg,rainy,daytime,other,rainy_daytime_other
a16471ef-fd89ae38.jpg,foggy,night,city street,foggy_night_city street
9eec3e2f-01c3c57a.jpg,partly cloudy,daytime,highway,partly cloudy_daytime_highway
0954aa06-69e1e2c0.jpg,snowy,daytime,city street,snowy_daytime_city street
8a126f7b-0f68996c.jpg,rainy,night,highway,rainy_night_highway
ac817b04-8315acb5.jpg,clear,night,city street,clear_night_city street
39ce20ec-e4245943.jpg,clear,night,highway,clear_night_highway
061015c1-a0d2ddc5.jpg,clear,night,city street,clear_night_city street
84c59ad5-11c50a32.jpg,clear,night,city street,clear_night_city street
7915c0ec-dd872999.jpg,snowy,night,residential,snowy_night_residential
0ca5c43b-7bf1618e.jpg,clear,night,highway,clear_night_highway
520bcf5d-6136b4aa.jpg,clear,daytime,highway,clear_daytime_highway
1c26e0ec-05ede6ac.jpg,clear,daytime,city street,clear_daytime_city street
5ea96a8f-afee4fab.jpg,rainy,daytime,city street,rainy_daytime_city street
a5efc6fe-a95cd515.jpg,clear,daytime,city street,clear_daytime_city street
5267fe63-2067e703.jpg,clear,night,city street,clear_night_city street
5ea1f2ff-c774bddb.jpg,partly cloudy,daytime,city street,partly cloudy_daytime_city street
9fb57992-268cdf0e.jpg,clear,night,city street,clear_night_city street
75fc78f3-de157239.jpg,clear,dawn/dusk,city street,clear_dawn/dusk_city street
5b5338d5-fda36b35.jpg,overcast,daytime,city street,overcast_daytime_city street
580262f8-9439e313.jpg,clear,daytime,highway,clear_daytime_highway
10b090cc-5359747e.jpg,clear,night,city street,clear_night_city street
04200e90-4a4c631e.jpg,overcast,daytime,highway,overcast_daytime_highway
2a656a7b-715d48fb.jpg,clear,night,city street,clear_night_city street
98216e09-22d83133.jpg,rainy,night,city street,rainy_night_city street
57b0788a-2df810f2.jpg,partly cloudy,daytime,highway,partly cloudy_daytime_highway
47df4c60-1033b8f5.jpg,clear,daytime,highway,clear_daytime_highway
4daa286f-e9772c43.jpg,snowy,daytime,highway,snowy_daytime_highway
a19ee994-3250d47a.jpg,clear,daytime,highway,clear_daytime_highway
8c0832f8-6b72dbb6.jpg,snowy,daytime,highway,snowy_daytime_highway
5cfee71c-42b3311c.jpg,snowy,night,city street,snowy_night_city street
53129cc8-8c613fd1.jpg,overcast,daytime,city street,overcast_daytime_city street
0c2a5664-72e9c581.jpg,partly cloudy,daytime,highway,partly cloudy_daytime_highway
17fd5ef2-6eafd70e.jpg,clear,night,residential,clear_night_residential
4decba14-37de55eb.jpg,clear,night,city street,clear_night_city street
9b2a81d5-2e668529.jpg,overcast,daytime,city street,overcast_daytime_city street
3d1301ff-22262278.jpg,rainy,night,city street,rainy_night_city street
72b0329a-c447c051.jpg,snowy,night,highway,snowy_night_highway
5c0e6423-1e3a3511.jpg,clear,daytime,residential,clear_daytime_residential
a8960a86-3551b9fa.jpg,clear,night,city street,clear_night_city street
690614e5-b116b2c0.jpg,overcast,daytime,highway,overcast_daytime_highway
6b736b84-a0702be5.jpg,clear,night,city street,clear_night_city street
8fa37cb9-b4389b66.jpg,undefined,daytime,city street,undefined_daytime_city street
75316b56-8c75f6a6.jpg,undefined,daytime,highway,undefined_daytime_highway
9496c91c-430a530b.jpg,snowy,daytime,city street,snowy_daytime_city street
3240b1fd-1709b909.jpg,overcast,daytime,city street,overcast_daytime_city street
98f74b18-aa3bbecb.jpg,clear,night,city street,clear_night_city street
5c55f94d-b659cea0.jpg,clear,night,city street,clear_night_city street
5f8d918b-3e067d12.jpg,clear,night,highway,clear_night_highway
a764b580-370905fc.jpg,clear,night,city street,clear_night_city street
a41615e4-c246b797.jpg,undefined,daytime,city street,undefined_daytime_city street
8ccdb6eb-ca74086e.jpg,snowy,daytime,highway,snowy_daytime_highway
61f458b8-1ba950cb.jpg,clear,night,highway,clear_night_highway
a2b1ab28-1493181a.jpg,partly cloudy,daytime,city street,partly cloudy_daytime_city street
afa7cd59-37ed8346.jpg,overcast,daytime,city street,overcast_daytime_city street
43d65cac-633acf9d.jpg,clear,night,city street,clear_night_city street
7da40adb-6d2ebd4c.jpg,snowy,daytime,city street,snowy_daytime_city street
9692dec3-ddb45506.jpg,clear,night,city street,clear_night_city street
671b4118-91a48a3c.jpg,clear,daytime,city street,clear_daytime_city street
32f37d9d-348b8b12.jpg,rainy,night,city street,rainy_night_city street
4ca86a72-da3c03b8.jpg,clear,dawn/dusk,highway,clear_dawn/dusk_highway
55f7b5bc-f37ce4f5.jpg,partly cloudy,daytime,city street,partly cloudy_daytime_city street
59664d12-9bbfb87d.jpg,undefined,daytime,highway,undefined_daytime_highway
3392807e-79dd05a4.jpg,clear,daytime,residential,clear_daytime_residential
48bac17e-9fd85501.jpg,undefined,daytime,highway,undefined_daytime_highway
a91d0723-eae2929f.jpg,clear,night,highway,clear_night_highway
6b654794-378dd37d.jpg,snowy,daytime,city street,snowy_daytime_city street
b0d7eaa8-5db68c1f.jpg,partly cloudy,daytime,city street,partly cloudy_daytime_city street
7327215c-8a5f4c4b.jpg,clear,daytime,city street,clear_daytime_city street
393af5c5-0e880036.jpg,clear,dawn/dusk,residential,clear_dawn/dusk_residential
0487206c-ecb14070.jpg,clear,night,residential,clear_night_residential
a5ba0148-047cbc14.jpg,clear,dawn/dusk,city street,clear_dawn/dusk_city street
4ea2d1e9-26453f24.jpg,clear,dawn/dusk,city street,clear_dawn/dusk_city street
5fc3419a-3dd2872a.jpg,overcast,daytime,city street,overcast_daytime_city street
81f9da03-5ec6bc61.jpg,overcast,dawn/dusk,city street,overcast_dawn/dusk_city street
18e19e80-20bda1e7.jpg,clear,dawn/dusk,city street,clear_dawn/dusk_city street
9c70dfb5-2d64af35.jpg,clear,night,city street,clear_night_city street
0ea059ef-101818db.jpg,clear,night,city street,clear_night_city street
71ec3de7-1f6b3f83.jpg,clear,daytime,city street,clear_daytime_city street
18cac65b-c84970d8.jpg,rainy,daytime,city street,rainy_daytime_city street
